database_name,sequence_database_number,sequence_info,sequence_length,pred,sensitivity,ppv,f1,execution_wall_time_secs
SPR,163,tdbR00000333,75,(((((((.(((...)))....(((.(((((.......))))).....(((((.......))))))))))))))).,0.85,0.708333333333333,0.772727272727273,69.1876906739999
PDB,337,bpRNA_PDB_337,17,.................,0,0,0,0.0430059270001948
PDB,179,bpRNA_PDB_179,24,(((((.(((.....)))..))))),0.8,1,0.888888888888889,0.0506740400005583
PDB,237,bpRNA_PDB_237,28,((((....................)))),0.363636363636364,1,0.533333333333333,0.0696566959995835
PDB,323,bpRNA_PDB_323,48,(((((((((..............................))))))))),0.428571428571429,1,0.6,1.15057601199987
PDB,355,bpRNA_PDB_355,15,...(((...)))...,0.428571428571429,1,0.6,0.047693318999336
SPR,492,tdbR00000370,75,...(((((.((......)).))))).....(((((....)))))...(((((.......)))))...........,0.333333333333333,0.388888888888889,0.358974358974359,33.9338817429998
PDB,379,bpRNA_PDB_379,59,(((((((((((.........)))))))).........((((....))))..))).....,0.571428571428571,0.8,0.666666666666667,4.45591393799987
PDB,477,bpRNA_PDB_477,112,......((((....(((.......))).....((((......)))).................(((((.......))))).))))(((......)))...............,0.375,0.9375,0.535714285714286,891.06044568
SPR,264,tdbR00000432,75,((((..........((......)).(((((((...))))))).....(((((.......)))))...))))....,0.666666666666667,0.7,0.682926829268293,88.6561671199997
PDB,141,bpRNA_PDB_141,23,((((((.((...)).)).)))).,0.75,0.75,0.75,0.0597134110003026
SPR,448,tdbR00000072,76,.........((((........)))).(((((.......))))).....(((((.......)))))...........,0.666666666666667,1,0.8,65.5723020759997
SPR,144,tdbR00000379,90,(((((((..(((...........))).(((((.......))))).((((((....)))))).(((((.......))))))))))))....,1,0.625,0.769230769230769,215.732699511
SPR,482,tdbR00000244,75,.((((((((.((((.......)))).(((((.......))))).....((((.......))))))))))))....,1,0.909090909090909,0.952380952380952,78.4381075249994
SPR,374,tdbR00000177,76,..(((((((..((.....))((((.......))))))))))).....((((((.......))))))..........,0.3,0.285714285714286,0.292682926829268,58.2551613800006
SPR,76,tdbR00000374,76,(((((((..((((........))))..((((.(((...)))).)))...((((.......)))).)))))))....,0.904761904761905,0.76,0.826086956521739,94.9533917540002
PDB,573,bpRNA_PDB_573,119,(((((((((....(((((...(((.....)))......))))).......(((...(((((....))))).)))..((........))..((((((.....))))))...))))))))),0.682926829268293,0.823529411764706,0.746666666666667,841.332397761
PDB,634,bpRNA_PDB_634,94,((((...........((((......((((((......)))).)).((((....)))))))).((((......)))).............)))).,0.257142857142857,0.5625,0.352941176470588,282.391811276
PDB,169,bpRNA_PDB_169,34,(((((.........)))))...............,0.454545454545455,1,0.625,0.122705957001017
SPR,523,tdbR00000323,75,(((((...................((((((.......))))))....(((((.......)))))..)))))....,0.8,1,0.888888888888889,60.7515163309999
PDB,290,bpRNA_PDB_290,22,((((..(((....)))..)))),0.875,1,0.933333333333333,0.0840724389981915
PDB,202,bpRNA_PDB_202,14,(((((....))))),0.833333333333333,1,0.909090909090909,0.0438390159997653
SPR,424,tdbR00000532,75,(((((((.(((.((((........)))).)))....(((....))).(((((.......))))))))))))....,0.619047619047619,0.541666666666667,0.577777777777778,55.8123834300004
PDB,298,bpRNA_PDB_298,29,((((.....................)))),0.363636363636364,1,0.533333333333333,0.0587515550014359
PDB,430,bpRNA_PDB_430,20,....................,0,0,0,0.0474979150003492
PDB,20,bpRNA_PDB_20,27,((((((((.((...))))))...)))),0.7,0.7,0.7,0.0663697370000591
SPR,485,tdbR00000423,86,.(((((((..(((..........))).(((((.......))))).((((...))))..(((((.......))))))))))))....,0.952380952380952,0.714285714285714,0.816326530612245,182.727537847
SPR,535,tdbR00000490,74,(((((((....................(((((.......)))))....(((.......)))..)))))))....,0.523809523809524,0.733333333333333,0.611111111111111,108.034219378002
SPR,44,tdbR00000354,76,(((((((..((((........)))).(((((.......))))).....(((((.......))))))))))))....,1,1,1,72.4852579919989
PDB,258,bpRNA_PDB_258,23,(((...(((.....)))...))),0.6,1,0.75,0.0567944289996376
PDB,113,bpRNA_PDB_113,24,(((((.(((.....)))..))))),0.8,1,0.888888888888889,0.0517087749994971
SPR,46,tdbR00000156,77,(((((((..((((.........)))).(((((.......))))).....(((((.......))))))))))))....,1,1,1,38.3029266659996
PDB,176,bpRNA_PDB_176,19,(((((.........))))),0.714285714285714,1,0.833333333333333,0.0479342059988994
PDB,482,bpRNA_PDB_482,68,(((((((.....(((((.......)))))..........(((.............)))..))))))).,0.535714285714286,1,0.697674418604651,20.2729791479996
SPR,414,tdbR00000416,85,(((((..(((((((((.........)))).))))).........((((....)).))(((((.......)))))..)))))....,0.476190476190476,0.357142857142857,0.408163265306122,108.128463005001
PDB,116,bpRNA_PDB_116,17,(((((.......))))),0.714285714285714,1,0.833333333333333,0.044849477999378
SPR,451,tdbR00000486,77,(((((((.......((((....))))..((((.......))))......(((((.......))))))))))))....,0.761904761904762,0.8,0.780487804878049,62.2798668029991
PDB,102,bpRNA_PDB_102,17,.(((...((...))))),0.428571428571429,0.6,0.5,0.0487798239992117
PDB,445,bpRNA_PDB_445,76,(((((((..((((........)))).(((((((...)))))))...........(((....))).)))))))....,0.695652173913043,0.695652173913043,0.695652173913043,63.6079259769995
SPR,421,tdbR00000496,75,.........((((.......)))).((((....))))...........((((.......))))..((.....)).,0.380952380952381,0.571428571428571,0.457142857142857,48.6178122619986
SPR,603,tdbR00000509,77,.((((((..((((.........)))).(((((.......))))).....(((((.......))))))))))).....,1,1,1,117.284203407999
PDB,21,bpRNA_PDB_21,17,.................,0,0,0,0.0451979389999906
SPR,389,tdbR00000505,76,.((((((..((((........)))).(((((.......))))).....(((((.......))))))))))).....,1,1,1,116.992486945001
PDB,150,bpRNA_PDB_150,22,(((((((((....))))))))),0.9,1,0.947368421052632,0.0550862960008089
SPR,118,tdbR00000122,75,(((((((...................(((((((...)))))))....(((((.......))))))))))))....,0.80952380952381,0.80952380952381,0.80952380952381,45.1882039329994
SPR,145,tdbR00000429,76,(((((((..((((........)))).(((((.......))))).......(((.......)))..)))))))....,0.904761904761905,1,0.95,43.851509959999
SPR,353,tdbR00000475,76,(((((((..((((.(((.....))).(((((...))))))))).....(((((((...))))))))))))))....,1,0.625,0.769230769230769,77.6687512260014
PDB,123,bpRNA_PDB_123,20,..(((((((....))))))),0.875,1,0.933333333333333,0.0448768159985775
PDB,127,bpRNA_PDB_127,27,..((((...............))))..,0.4,1,0.571428571428571,0.0608581060005236
SPR,227,tdbR00000127,65,..........................(((((...)))))(((..(((.....))).......))),0.25,0.384615384615385,0.303030303030303,23.3968391920007
PDB,405,bpRNA_PDB_405,40,(((((((...((((((((...))))))...)).))))))),0.764705882352941,0.8125,0.787878787878788,0.125437548998889
PDB,326,bpRNA_PDB_326,42,((((((..((((.((((.....))))...))))...)))))),0.823529411764706,1,0.903225806451613,0.42463215799944
PDB,404,bpRNA_PDB_404,39,(((((((((....(((((...)))))..))..))))))),0.764705882352941,1,0.866666666666667,0.270523769000647
SPR,171,tdbR00000158,77,((((.....((((.........)))).(((((.......)))))......((((.......))))....))))....,0.80952380952381,1,0.894736842105263,63.8596141589987
PDB,292,bpRNA_PDB_292,34,(((((((((((............))))))))))),0.785714285714286,1,0.88,0.236623839000458
SPR,420,tdbR00000485,77,.((((((.......((((....))))..((((.......))))......(((((.......))))))))))).....,0.714285714285714,0.789473684210526,0.75,56.4680483289994
PDB,126,bpRNA_PDB_126,42,...............((((....))))...............,0.25,1,0.4,0.226999800999693
PDB,82,bpRNA_PDB_82,22,((.((((....)))).))....,0.75,1,0.857142857142857,0.0571032269999705
SPR,619,tdbR00000041,75,.................((((.....(((((...)))))))))....(((((.......)))))..((....)).,0.476190476190476,0.5,0.487804878048781,97.5540427750002
SPR,445,tdbR00000232,88,(((((((..(((...........))).(((((.......)))))................(((((.......))))))))))))....,1,1,1,231.403223906
SPR,288,tdbR00000103,76,(((((((....(((((.((((.........)))))............(((........))))))))))))))....,0.428571428571429,0.391304347826087,0.409090909090909,58.5773637860002
SPR,318,tdbR00000132,74,(((((((.......((((.......(((((...)))))))))....(((((.......))))))))))))....,0.85,0.68,0.755555555555556,32.7580706219996
SPR,587,tdbR00000069,76,(((......((((........)))).(((((.......))))).....(((((.......)))))....)))....,0.85,1,0.918918918918919,63.8035463699998
SPR,170,tdbR00000140,77,((((((((..((((........)))).(((((.......)))))......((((.......)))).))))))))...,0.952380952380952,0.952380952380952,0.952380952380952,33.554022065
SPR,505,tdbR00000144,76,.((((......................(((((...)))))))))....(((...........)))...........,0.380952380952381,0.666666666666667,0.484848484848485,57.3806103270017
PDB,380,bpRNA_PDB_380,15,((((.......)))),0.666666666666667,1,0.8,0.044839267999123
PDB,253,bpRNA_PDB_253,67,(((((((((...(((((.......)))))..........(((...))))))))))))..........,0.259259259259259,0.875,0.4,22.3340766990004
PDB,61,bpRNA_PDB_61,27,(((.....................))),0.272727272727273,1,0.428571428571429,0.0547364940011903
SPR,431,tdbR00000148,76,.(((((((...................(((((.......)))))....(((((.......))))))))))))....,0.80952380952381,1,0.894736842105263,48.2942524290011
PDB,572,bpRNA_PDB_572,55,((((..........(((((..(((............))))).......))))))),0.375,0.818181818181818,0.514285714285714,4.01580226400074
SPR,239,tdbR00000043,78,(((((((.......((((((((((.....))))))...........))))(((((.......))))))))))))....,0.571428571428571,0.461538461538462,0.51063829787234,97.4756636789989
PDB,29,bpRNA_PDB_29,43,((((...(((.((...)))))....((......))....)))),0.5,0.666666666666667,0.571428571428571,0.413638328998786
SPR,396,tdbR00000614,78,(((((((..(((((........)))))(((((........))))).....(((((.......))))))))))))....,0.952380952380952,0.869565217391304,0.909090909090909,265.497965949
PDB,4,bpRNA_PDB_4,38,((((((((((...((((....))))))))...)))))),1,1,1,0.207822574000602
SPR,528,tdbR00000408,85,(((......)))..........(((((.................((((...))))..(((((.......))))).....))))).,0.476190476190476,0.476190476190476,0.476190476190476,139.957769797
SPR,573,tdbR00000420,85,(((((((..(((..........))).(((((.......))))).((((...))))..(((((.......))))))))))))....,0.909090909090909,0.714285714285714,0.8,202.205020228999
PDB,561,bpRNA_PDB_561,67,((((((......(((((.......)))))..........(((...)))...))))))..........,0.259259259259259,1,0.411764705882353,19.7977947809995
PDB,31,bpRNA_PDB_31,21,((.....))............,0,0,0,0.0538720840013411
PDB,510,bpRNA_PDB_510,76,(((((((..((((........)))).(((((((...)))))))...........(((....))).)))))))....,0.615384615384615,0.761904761904762,0.680851063829787,64.3958559340008
SPR,595,tdbR00000523,75,(((((....((((.......)))).......................(((((.......)))))..)))))....,0.666666666666667,1,0.8,55.9781553699995
PDB,196,bpRNA_PDB_196,29,((((((((.((((....)))))))))))),1,0.714285714285714,0.833333333333333,0.0884526520003419
SPR,297,tdbR00000056,76,(((((((....................(((((.......)))))....(((((.......))))))))))))....,0.80952380952381,1,0.894736842105263,98.2812889220004
SPR,67,tdbR00000093,76,(((((((....(((((.((((.........)))))............(((........))))))))))))))....,0.428571428571429,0.391304347826087,0.409090909090909,58.2259269690003
PDB,623,bpRNA_PDB_623,32,((((((((................)))))))),0.615384615384615,1,0.761904761904762,0.141956320998361
SPR,616,tdbR00000495,76,.........((((........)))).((((....))))...........((((.......))))..((.....)).,0.380952380952381,0.571428571428571,0.457142857142857,49.3175415400001
SPR,74,tdbR00000097,76,(((((((....(((((.((((.........)))))............(((........))))))))))))))....,0.428571428571429,0.391304347826087,0.409090909090909,58.5406538949992
SPR,261,tdbR00000383,84,(((((((...((((((......)).(((((.......))))).((((...))))))))(((.......)))..)))))))....,0.761904761904762,0.533333333333333,0.627450980392157,230.394980654999
SPR,509,tdbR00000518,76,.((((((....................(((((.......)))))....(((((.......))))))))))).....,0.8,1,0.888888888888889,132.895212273001
PDB,615,bpRNA_PDB_615,71,(((((((((...(((...............)))........((((((.......))))))..))))))))),0.642857142857143,1,0.782608695652174,64.9621782449976
SPR,138,tdbR00000347,75,.((((((.........((((.(((....)))).........)))...(((((.......))))))))))).....,0.55,0.611111111111111,0.578947368421053,40.5507421280017
SPR,412,tdbR00000335,75,((((.................(((..((((.......))))..(((((......)))))........))))))).,0.421052631578947,0.4,0.41025641025641,76.0956216800005
PDB,241,bpRNA_PDB_241,38,((((((((((...((((....))))))))...)))))),1,1,1,0.19971001599697
SPR,31,tdbR00000593,60,(((((....((((.......))))..((((.....................))))))))),0.6,0.692307692307692,0.642857142857143,26.9860988330001
PDB,299,bpRNA_PDB_299,22,((((((((......)))))))),0.8,1,0.888888888888889,0.0152297409986204
PDB,402,bpRNA_PDB_402,70,(((((.((((((.........))))))......((((((...........)))))....)))))).....,0.407407407407407,0.611111111111111,0.488888888888889,17.5474264439981
PDB,392,bpRNA_PDB_392,23,....((((((...))))))....,1,1,1,0.0179478040008689
SPR,447,tdbR00000281,76,(((((((((((((.............((((.........)))))))))).((((...........))))))))))),0.523809523809524,0.478260869565217,0.5,41.5380173539998
SPR,302,tdbR00000577,72,(((((((...................(((((.......)))))....(((((.......)))))))))))).,0.85,1,0.918918918918919,38.5779907459982
PDB,540,bpRNA_PDB_540,94,((((..........((((.......((((((......)))).)).((((....)))))))).((((......)))).............)))).,0.285714285714286,0.625,0.392156862745098,258.541562611001
SPR,495,tdbR00000369,76,.........(((..........))).(((((.......))))).....(((((.......)))))..((....)).,0.65,0.866666666666667,0.742857142857143,59.897738128002
PDB,206,bpRNA_PDB_206,27,.......(((((....)))))......,0.454545454545455,1,0.625,0.0407493519996933
SPR,345,tdbR00000377,76,..((((((((((..............(((((.......))))).......(((.......)))..))))).))))),0.65,0.68421052631579,0.666666666666667,42.1985792619998
SPR,65,tdbR00000133,74,(((((((.....................(((.(((.....))))))(((((.......))))))))))))....,0.545454545454545,0.631578947368421,0.585365853658537,63.1322939580023
SPR,467,tdbR00000341,75,(((((((...................(((((.......)))))....(((((.......))))))))))))....,0.80952380952381,1,0.894736842105263,41.0594195000012
SPR,69,tdbR00000080,70,.........((((......)))).(((((.......)))))....((((......))))...........,0.68421052631579,1,0.8125,32.0769881419983
SPR,387,tdbR00000112,74,(((((((..................(((((.......))))).....((((.......)))).)))))))....,0.761904761904762,1,0.864864864864865,46.5007645430014
SPR,317,tdbR00000058,76,(((((......................(((((.......)))))....(((((.......)))))..)))))....,0.714285714285714,1,0.833333333333333,78.6257665389967
SPR,484,tdbR00000079,71,..........((((......)))).(((((.......)))))....(((((....)))))...........,0.68421052631579,0.866666666666667,0.764705882352941,46.5686679809987
SPR,244,tdbR00000138,77,((((......((((...))))......(((((((.....)))))))...(((...........)))......)))).,0.476190476190476,0.5,0.487804878048781,83.0463571969995
SPR,333,tdbR00000034,71,.........((((.....)))).(((((.......)))))...((((((......))))))..........,0.666666666666667,0.933333333333333,0.777777777777778,122.985751176999
PDB,182,bpRNA_PDB_182,17,((((((.....)))))),1,1,1,0.0218678260025627
PDB,368,bpRNA_PDB_368,27,((((((((.((...))))))...)))),0.7,0.7,0.7,0.0551492589984264
SPR,266,tdbR00000541,77,(((((((..((((.........))))((((((.......))))))....(((((.......))))))))))))....,1,1,1,79.0686278079993
SPR,94,tdbR00000445,76,(((((........(((......))).(((((.......))))).....(((((.......)))))..)))))....,0.75,0.833333333333333,0.789473684210526,60.5117518209991
SPR,285,tdbR00000135,74,.......(((((............((((((.......))))))..((((((.......)))))).....))))),0.523809523809524,0.611111111111111,0.564102564102564,47.1457457849974
PDB,307,bpRNA_PDB_307,38,.............((((....)))).............,0.307692307692308,1,0.470588235294118,0.138397235998127
SPR,136,tdbR00000472,76,(((((((..(((..(((.....)))....((((....)))...)))).(((((.......))))))))))))....,0.85,0.62962962962963,0.723404255319149,56.903129798
PDB,516,bpRNA_PDB_516,54,((((...(((((.....(((..........))).))))..........))))).,0.111111111111111,0.222222222222222,0.148148148148148,2.38452975399923
SPR,539,tdbR00000466,77,.........(((..(((......))).(((((....)))))))).....(((((.......))))).(((....))),0.65,0.590909090909091,0.619047619047619,80.4628967070021
PDB,399,bpRNA_PDB_399,43,.............(((((((....)))))))............,0.411764705882353,1,0.583333333333333,0.600329599998076
SPR,471,tdbR00000195,76,(((((((..((((........)))).(((((.......)))))....((((((.......))))))..))))))).,0.904761904761905,0.826086956521739,0.863636363636364,53.9252475540016
SPR,189,tdbR00000394,88,(((((....(((...........))).(((((.......)))))..((((....))))..(((((.......)))))..)))))....,0.9,0.692307692307692,0.782608695652174,252.043219879
SPR,195,tdbR00000454,77,(((((((..((((.........)))).(((((.......)))))......((((.......)))).)))))))....,0.952380952380952,1,0.975609756097561,73.1610127879976
SPR,186,tdbR00000391,93,(((((((..(((....(((....))).(((((.......))))).((((...........)))).(((((.......))))))))))))))).,0.952380952380952,0.588235294117647,0.727272727272727,498.969006808999
PDB,188,bpRNA_PDB_188,27,((((((((...........)))))))),0.727272727272727,1,0.842105263157895,0.059957265999401
SPR,479,tdbR00000032,72,..((((((..((((.....))))...............((((((.....))))))......)))))).....,0.476190476190476,0.555555555555556,0.512820512820513,127.728470580001
PDB,343,bpRNA_PDB_343,17,(((((.......))))),0.833333333333333,1,0.909090909090909,0.0284997319977265
PDB,287,bpRNA_PDB_287,17,(((((.......))))),0.833333333333333,1,0.909090909090909,0.0299627869972028
PDB,57,bpRNA_PDB_57,14,(((........))),0.6,1,0.75,0.0277742719990783
PDB,213,bpRNA_PDB_213,68,.............(((((.......)))))..........(((..(((........))).....))).,0.285714285714286,1,0.444444444444444,21.9680706920008
PDB,581,bpRNA_PDB_581,71,..(((((((...((((((.........))))))........((((((.......))))))..)))))))..,0.655172413793103,1,0.791666666666667,26.0891472609983
SPR,405,tdbR00000440,74,.........((((.......)))).((((.........))))....((((((.....))))))...........,0.65,0.866666666666667,0.742857142857143,82.2320751859988
PDB,205,bpRNA_PDB_205,27,(((((.((((((....))))))))))),0.916666666666667,1,0.956521739130435,0.043855928000994
PDB,232,bpRNA_PDB_232,12,.(((....))).,0.6,1,0.75,0.0286509129982733
SPR,36,tdbR00000184,76,((((((((.((((........))))........................(((.......)))..))))))))....,0.6,0.8,0.685714285714286,57.043382316002
SPR,279,tdbR00000428,85,(((((((..(((..........))).(((((.......))))).((((...))))..(((((.......))))))))))))....,0.952380952380952,0.714285714285714,0.816326530612245,178.541836351
PDB,50,bpRNA_PDB_50,27,.......(((((....)))))......,0.454545454545455,1,0.625,0.0421799149989965
PDB,443,bpRNA_PDB_443,26,.....((((((.........)))))),0,0,0,0.0294439399986004
SPR,211,tdbR00000230,83,(((((((................(((..((((((.........)))..)))))).(((((.......))))))))))))....,0.571428571428571,0.571428571428571,0.571428571428571,105.754964395001
PDB,156,bpRNA_PDB_156,21,((((((.........)))))),0.666666666666667,1,0.8,0.0292243650001183
PDB,332,bpRNA_PDB_332,35,............((((((....)))))).......,0.384615384615385,0.714285714285714,0.5,0.152534165001271
SPR,133,tdbR00000425,85,(((((((..(((..........))).(((((.......))))).((((...))))..(((((.......))))))))))))....,0.952380952380952,0.714285714285714,0.816326530612245,170.095189333999
PDB,11,bpRNA_PDB_11,29,((((.((..(((....)))))....)))),0.545454545454545,0.6,0.571428571428571,0.0788135700022394
PDB,526,bpRNA_PDB_526,101,..........(((((((((..........(((((((.............))))))).....((((....)))).....)))))))))((.....)).....,0.555555555555556,0.869565217391304,0.677966101694915,494.047726158002
SPR,370,tdbR00000217,89,(((((((..(((...........))).(((((.......))))).................(((((.......))))))))))))....,1,1,1,224.455040024
PDB,487,bpRNA_PDB_487,67,(((((((.....(((((.......)))))..........(((.............)))..))))))),0.535714285714286,1,0.697674418604651,21.7120361909983
SPR,148,tdbR00000328,78,.((((((......(((((......)))))..(((................(((((.......))))))))))).))).,0.523809523809524,0.578947368421053,0.55,73.7321270069988
SPR,257,tdbR00000312,74,(((((((.............((((...((((.....)))).)))).(((((.......))))))))))))....,0.714285714285714,0.75,0.731707317073171,92.312015268999
SPR,251,tdbR00000213,88,(((((((..(((......)))(((((((....)))))...)).....(((....)))....((((.......)))).)))))))....,0.523809523809524,0.392857142857143,0.448979591836735,304.601078241998
PDB,257,bpRNA_PDB_257,67,((((((......(((((.......)))))..........(((...)))...))))))..........,0.259259259259259,1,0.411764705882353,17.2114824380005
PDB,665,bpRNA_PDB_665,85,.............(((((....)))))...........(((((((((....))))))....)))((((.......))))......,0.411764705882353,0.823529411764706,0.549019607843137,189.719534889999
PDB,613,bpRNA_PDB_613,76,.........((((........)))).(((((.......))))).....(((((.......)))))...........,0.518518518518518,1,0.682926829268293,58.7171965470006
PDB,523,bpRNA_PDB_523,89,((((...........(((.....)))(((((((...(((((...))))))).....(((....)))............))))).)))).,0.45945945945946,0.944444444444444,0.618181818181818,164.551239476001
SPR,212,tdbR00000001,75,...((((..((((.......)))).(((((((...))))))).....(((((.......))))))))).......,0.857142857142857,0.818181818181818,0.837209302325581,56.8182316739985
SPR,175,tdbR00000511,77,.((((((..((((.........)))).(((((.......))))).......(((.......)))..)))))).....,0.9,1,0.947368421052632,97.2896298580017
SPR,50,tdbR00000180,76,(((((((..((((........)))).(((((.......))))).....(((((.......))))))))))))....,1,1,1,40.318489076999
SPR,70,tdbR00000403,72,........((((.....))))...((((.......))))........(((..................))).,0.333333333333333,0.538461538461538,0.411764705882353,75.3779478630022
