database_name,sequence_database_number,sequence_info,sequence_length,pred,sensitivity,ppv,f1,execution_wall_time_secs
PDB,106,bpRNA_PDB_106,32,(((((((....)).))))).............,0.5,0.7142857142857143,0.588235294117647,0.038022011000066414
PDB,325,bpRNA_PDB_325,17,(((((......))))).,0.8333333333333334,1.0,0.9090909090909091,0.037792077999938556
PDB,195,bpRNA_PDB_195,29,((((((...((((......)))))))))),1.0,1.0,1.0,0.038179394999815486
SPR,398,tdbR00000615,77,(((((((..((((.((...)).)))).(((((.......))))).....(((((.......))))))))))))....,1.0,0.84,0.9130434782608696,0.055510867999828406
SPR,121,tdbR00000261,87,((((((...(((.((....))..))).(((((.......)))))(((((....))))).(((((.......))))).))))))....,0.9047619047619048,0.59375,0.7169811320754718,0.06286008300003232
SPR,371,tdbR00000216,85,(((((....(((...........)))..((((.......)))).((((....))))((((((.......)))))).)))))....,0.85,0.6538461538461539,0.7391304347826088,0.05737335300000268
PDB,204,bpRNA_PDB_204,47,..(((((((....(((.((((.....))..))..)))...))))))),0.7368421052631579,1.0,0.8484848484848484,0.040958677000162425
PDB,203,bpRNA_PDB_203,32,((((.((((.(((.....)))..)))).)))),0.7857142857142857,1.0,0.88,0.038587009999901056
PDB,312,bpRNA_PDB_312,102,((((((((....))))))))......(((((((((.........)))))))))...((((.(((((......(((....)))......))))).))))....,0.7741935483870968,0.7272727272727273,0.7500000000000001,0.07818499599989082
PDB,149,bpRNA_PDB_149,27,((((...((((....))))....)))),0.8,1.0,0.888888888888889,0.03817511800002649
PDB,394,bpRNA_PDB_394,62,(((((.(((.......(((.(.((.(((((.....))))).)).)))).....)))))))).,0.4166666666666667,0.7142857142857143,0.5263157894736842,0.04653951499994946
SPR,481,tdbR00000263,86,.(((((((.((((....))))...((.((((((.......)))))).)).........(((((.......))))))))))))....,0.8571428571428571,0.72,0.782608695652174,0.06292130800011364
SPR,320,tdbR00000172,77,((((((.(((((.....))))).(((((.((....)).)))))......(((((.......))))).))))))....,0.65,0.5416666666666666,0.5909090909090908,0.05443875500009199
PDB,388,bpRNA_PDB_388,27,(((((.....((......))..))))),0.7777777777777778,1.0,0.8750000000000001,0.0373991459998706
SPR,475,tdbR00000421,85,(((((((..(((..........))).(((((.......))))).((((...))))..(((((.......))))))))))))....,0.9523809523809523,0.7142857142857143,0.8163265306122449,0.06433764899998096
PDB,496,bpRNA_PDB_496,94,((((((((...........(((((.(((((((........)))..((((....)))))))).))))).(((((....)))))...)))))))).,0.5142857142857142,0.6923076923076923,0.5901639344262295,0.062120658999901934
SPR,61,tdbR00000453,76,(((((((..(((((((((...((...(((((.......)))))...))..))))).)))).....)))))))....,0.5714285714285714,0.48,0.5217391304347826,0.05322096899999451
PDB,230,bpRNA_PDB_230,41,(((((((((((((((((....)))))))))))...)))))),0.9444444444444444,1.0,0.9714285714285714,0.03953460599996106
SPR,34,tdbR00000029,73,.......((((...))))..(((((((.(((((...(((((.....)))))..))))))))))))........,0.0,0.0,0,0.05187110199995004
PDB,330,bpRNA_PDB_330,36,((((.(((.........)))))))............,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.03901795499996297
PDB,297,bpRNA_PDB_297,76,((((((..(((...)))(((((.....))))).......((.((((((((....)))))))).)).))))))....,0.4642857142857143,0.5652173913043478,0.5098039215686274,0.0545073109999521
PDB,225,bpRNA_PDB_225,45,(((((((((((((((((((....)))))))))))...)))))))),0.95,1.0,0.9743589743589743,0.040550187999997434
PDB,70,bpRNA_PDB_70,13,(((......))).,0.75,1.0,0.8571428571428571,0.03753090999998676
SPR,577,tdbR00000482,75,((((((((((.....(((....((((((...............))))))....)))....))).)))))))....,0.3333333333333333,0.35,0.3414634146341463,0.05600729399998272
SPR,506,tdbR00000145,76,.(((((((.......(((.......))).((((((....))))))...(((((.......))))))))))))....,0.7142857142857143,0.6521739130434783,0.6818181818181819,0.05583870400005253
SPR,221,tdbR00000446,78,(((((((.((......))......(((.(((((.......)))))..)))(((((.......))))))))))))....,0.85,0.7391304347826086,0.7906976744186046,0.05654894500003138
PDB,306,bpRNA_PDB_306,25,(((.(((((((....)))))))))),1.0,0.8181818181818182,0.9,0.03737048300013157
SPR,415,tdbR00000417,85,..((((((((((....)))))))))).((((.(....))))).(((((...))))).(((((.......))))).(((...))).,0.6190476190476191,0.37142857142857144,0.4642857142857143,0.06430000499995003
PDB,612,bpRNA_PDB_612,76,((((((...((((........)))).(((((.......))))).....(((((.......))))).))))))....,0.7407407407407407,1.0,0.851063829787234,0.05424919099982617
SPR,313,tdbR00000400,71,((((((.....((((((.(((((((.......)))))))(((((...)))))...))))))))))))....,0.75,0.3870967741935484,0.5106382978723403,0.05845811099993625
SPR,163,tdbR00000333,75,(((((((..(((.........))).(((((.......))))).....(((((.......))))))))))))....,1.0,1.0,1.0,0.053482633999919926
PDB,337,bpRNA_PDB_337,17,(((((.......))))),0.8333333333333334,1.0,0.9090909090909091,0.03672858799995993
PDB,179,bpRNA_PDB_179,24,(((((.(((.....)))..))))),0.8,1.0,0.888888888888889,0.03923854399999982
PDB,237,bpRNA_PDB_237,28,(((((....(((....)))....))))),0.7272727272727273,1.0,0.8421052631578948,0.0380989509999381
PDB,323,bpRNA_PDB_323,48,(((((((((((((((((((........))))))).))).))))))))),0.9047619047619048,1.0,0.9500000000000001,0.04213844699984293
PDB,355,bpRNA_PDB_355,15,((((((...)))))),0.8571428571428571,1.0,0.923076923076923,0.037568153999927745
SPR,492,tdbR00000370,75,(((((((((((((.......))).(((.(((((.(((((....))))).))))).)))..))).)))))))....,0.47619047619047616,0.35714285714285715,0.40816326530612246,0.05461399700016045
PDB,379,bpRNA_PDB_379,59,((((((((............)))))))).........((((....))))..........,0.5714285714285714,1.0,0.7272727272727273,0.04348789999994551
PDB,477,bpRNA_PDB_477,112,((((((((..((..(((.......)))..)).((((......)))).(((((....)))))..(((((.......))))).(((((......))).))......)))))))),0.675,0.8709677419354839,0.7605633802816901,0.09018384700016213
SPR,264,tdbR00000432,75,(((((((..((((.......)))).(((((((...))))))).....(((((.......))))))))))))....,1.0,0.84,0.9130434782608696,0.05322005500011073
PDB,141,bpRNA_PDB_141,23,((((.(((....)))...)))).,0.875,1.0,0.9333333333333333,0.03773916799991639
SPR,448,tdbR00000072,76,((((((...((((........)))).(((((.......))))).....(((((.......))))).))))))....,0.9523809523809523,1.0,0.975609756097561,0.0550765620000675
SPR,144,tdbR00000379,90,(((((((..(((...........))).(((((.......))))).((((((....)))))).(((((.......))))))))))))....,1.0,0.625,0.7692307692307693,0.06330847799995354
SPR,482,tdbR00000244,75,.((((((((.((((.......)))).((((((....).)))))......(((.......))).))))))))....,0.95,0.8260869565217391,0.8837209302325583,0.05129884199982371
SPR,374,tdbR00000177,76,((((((...((.((.((((.((((.......))))...)))))).)).(((((.......))))).))))))....,0.55,0.44,0.48888888888888893,0.05313335400001051
SPR,76,tdbR00000374,76,(((((((.(((....((((...(((....)))))))..))).((((((.........))))))..)))))))....,0.3333333333333333,0.28,0.30434782608695654,0.056021757000053185
PDB,573,bpRNA_PDB_573,119,(((((((((....(((((...(((.....)))......)))))((((.((...((.(((((....))))).))...))))))...((((...((((.....)))))))).))))))))),0.6829268292682927,0.717948717948718,0.7000000000000001,0.07873177500005113
PDB,634,bpRNA_PDB_634,94,((((((((......((((..(((.....)))......))))((((.(((....)))))))........(((((....)))))...)))))))).,0.7142857142857143,0.9259259259259259,0.8064516129032259,0.060962121999864394
PDB,169,bpRNA_PDB_169,34,(((((((....)).)))))...............,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.03832235999993827
SPR,523,tdbR00000323,75,(((((.(((((((((.(((....(((((((.......)))))))))))))))........))).).)))))....,0.6,0.5,0.5454545454545454,0.057520519000036074
PDB,290,bpRNA_PDB_290,22,((((..(((....)))..)))),0.875,1.0,0.9333333333333333,0.04162125900006686
PDB,202,bpRNA_PDB_202,14,(((((....))))),0.8333333333333334,1.0,0.9090909090909091,0.03780232799999794
SPR,424,tdbR00000532,75,(((((((.(((.(((((......))))).)))....(((....))).(((((.......))))))))))))....,0.6666666666666666,0.5384615384615384,0.5957446808510638,0.05104834100006883
PDB,298,bpRNA_PDB_298,29,(((((((((.((....)).))))).)))),1.0,1.0,1.0,0.03950165499986724
PDB,430,bpRNA_PDB_430,20,(((((...))))).......,0.0,0.0,0,0.03775000599989653
PDB,20,bpRNA_PDB_20,27,((((...((((....))))....)))),0.8,1.0,0.888888888888889,0.03840791200013882
SPR,485,tdbR00000423,86,.(((((((..(((..........))).(((((.......))))).((((...))))..(((((.......))))))))))))....,0.9523809523809523,0.7142857142857143,0.8163265306122449,0.07030480399998851
SPR,535,tdbR00000490,74,(((((((..((((.......)))).(((((((...))))))).....((((.......)))).)))))))....,0.9523809523809523,0.8333333333333334,0.888888888888889,0.053351953999936086
SPR,44,tdbR00000354,76,(((((((..((((........)))).(((((.......))))).....(((((.......))))))))))))....,1.0,1.0,1.0,0.053729406999991625
PDB,258,bpRNA_PDB_258,23,(((((((((.....))))))))),0.9,1.0,0.9473684210526316,0.037280845999930534
PDB,113,bpRNA_PDB_113,24,(((((.(((.....)))..))))),0.8,1.0,0.888888888888889,0.03935167100007675
SPR,46,tdbR00000156,77,((((((...((((.........)))).(((((.......))))).....(((((.......))))).))))))....,0.9523809523809523,1.0,0.975609756097561,0.055429129999993165
PDB,176,bpRNA_PDB_176,19,.((((((....)).)))).,0.8571428571428571,1.0,0.923076923076923,0.037091138000050705
PDB,482,bpRNA_PDB_482,68,(((((((.....(((((.......)))))..........((((((.......))))))..))))))).,0.6428571428571429,1.0,0.782608695652174,0.04973571699997592
SPR,414,tdbR00000416,85,(((((((..(((..........)))..((((.(((((.((((((((((...))))).)))))))))).).))).)))))))....,0.47619047619047616,0.3333333333333333,0.39215686274509803,0.06424429300000156
PDB,116,bpRNA_PDB_116,17,(((((.......))))),0.7142857142857143,1.0,0.8333333333333333,0.038101562000065314
SPR,451,tdbR00000486,77,(((((((.......((((....)))).(((((.......))))).....(((((.......))))))))))))....,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.054648922999831484
PDB,102,bpRNA_PDB_102,17,(((((((...))))))),0.8571428571428571,0.8571428571428571,0.8571428571428571,0.03681170300001213
PDB,445,bpRNA_PDB_445,76,(((((((..((((........)))).(((((((...))))))).....(((((.......))))))))))))....,0.9130434782608695,0.84,0.8749999999999999,0.06019240499995249
SPR,421,tdbR00000496,75,(((((((..((((.......)))).(((((.......)))))......((((.......)))).)))))))....,0.9523809523809523,1.0,0.975609756097561,0.05421587199998612
SPR,603,tdbR00000509,77,.((((((..((((.........)))).(((((.......))))).....(((((.......))))))))))).....,1.0,1.0,1.0,0.05368455699999686
PDB,21,bpRNA_PDB_21,17,(((((.......))))),0.8333333333333334,1.0,0.9090909090909091,0.03852211100002023
SPR,389,tdbR00000505,76,.((((((..((((........)))).(((((.......))))).....(((((.......))))))))))).....,1.0,1.0,1.0,0.06051500300009138
PDB,150,bpRNA_PDB_150,22,(((((((((....))))))))),0.9,1.0,0.9473684210526316,0.03928870100003223
SPR,118,tdbR00000122,75,(((((((.(((((........))))).((((((...)))))).....(((((.......))))))))))))....,0.9523809523809523,0.7692307692307693,0.8510638297872339,0.055662633999872924
SPR,145,tdbR00000429,76,((((((...((((........)))).(((((.......))))).....(((((.......))))).))))))....,0.9523809523809523,1.0,0.975609756097561,0.06761193600004844
SPR,353,tdbR00000475,76,(((((((.......(((.....))).(((((.......))))).....(((((((...))))))))))))))....,0.85,0.7083333333333334,0.7727272727272727,0.05634971900008168
PDB,123,bpRNA_PDB_123,20,..(((((((....))))))),0.875,1.0,0.9333333333333333,0.037233446000072945
PDB,127,bpRNA_PDB_127,27,.(((((..((........)).))))).,0.5,0.7142857142857143,0.588235294117647,0.03885022999998
SPR,227,tdbR00000127,65,((((((((....(((((.......(((((((...))))))).....)))))..))))))))....,0.6,0.5217391304347826,0.5581395348837209,0.050275010000177645
PDB,405,bpRNA_PDB_405,40,((((((((.(((((((.....)))))))....)))))))),0.8823529411764706,1.0,0.9375,0.03973095799983639
PDB,326,bpRNA_PDB_326,42,((((((.((((((((((.....)))))..)))))..)))))),0.9411764705882353,1.0,0.9696969696969697,0.04063516299993353
PDB,404,bpRNA_PDB_404,39,(((((((((((..(((((...)))))))))..))))))),0.8235294117647058,0.9333333333333333,0.8749999999999999,0.040082080000047426
SPR,171,tdbR00000158,77,(((((((.......(((((((.((((.(((((((.((....)).)))..)))))))).)).))))))))))))....,0.42857142857142855,0.32142857142857145,0.3673469387755102,0.058316262000062125
PDB,292,bpRNA_PDB_292,34,(((((((((((............))))))))))),0.7857142857142857,1.0,0.88,0.03900208400000338
SPR,420,tdbR00000485,77,(((((((.......((((....)))).(((((.......))))).....(((((.......))))))))))))....,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.05445109799984493
PDB,126,bpRNA_PDB_126,42,((((.......((((((((....)))))))).......)))),0.75,1.0,0.8571428571428571,0.03868128099998103
PDB,82,bpRNA_PDB_82,22,(((((((....)))))))....,0.875,1.0,0.9333333333333333,0.03759575899994161
SPR,619,tdbR00000041,75,((((((((((......((.......((((((((((...)))))....))))).......))))))))))))....,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.056482468000012886
SPR,445,tdbR00000232,88,(((((((..(((...........))).(((((.......)))))................(((((.......))))))))))))....,1.0,1.0,1.0,0.060121312000092075
SPR,288,tdbR00000103,76,((((((.....((((((.((......)).)))))).((((....))))(((((.......))))).))))))....,0.6190476190476191,0.4482758620689655,0.52,0.05400139899984424
SPR,318,tdbR00000132,74,(((((((((..((.(((((((.........)))))))))..))...(((((.......))))))))))))....,0.6,0.41379310344827586,0.4897959183673469,0.053939702999969086
SPR,587,tdbR00000069,76,(((.(((..((((........)))).(((((.......))))).....(((((.......)))))))).)))....,1.0,1.0,1.0,0.054142072000104235
SPR,170,tdbR00000140,77,(((((((...((((........)))).(((((.......))))).....(((((.......))))).)))))))...,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.05589200299982622
SPR,505,tdbR00000144,76,.(((((((..((((........)))).(((((.......)))))....(((((.......))))))))))))....,1.0,1.0,1.0,0.05599608099987563
PDB,380,bpRNA_PDB_380,15,((((.......)))),0.6666666666666666,1.0,0.8,0.0377886359999593
PDB,253,bpRNA_PDB_253,67,(((((((.....(((((.......)))))..........((((((.......))))))..))))))),0.6296296296296297,0.9444444444444444,0.7555555555555556,0.05067934399994556
PDB,61,bpRNA_PDB_61,27,.((((......))))(((......))),0.2727272727272727,0.42857142857142855,0.33333333333333326,0.03853980200005935
SPR,431,tdbR00000148,76,.(((((((.......(((((((..((.....))..)))))))......(((((.......))))))))))))....,0.5714285714285714,0.5,0.5333333333333333,0.057246954999982336
PDB,572,bpRNA_PDB_572,55,((((..((..((..(((((...((((....))))..)))))..))..))..)))),0.7083333333333334,1.0,0.8292682926829268,0.044176719000006415
SPR,239,tdbR00000043,78,(((((((((((........)))))...(((((((.......)))))))..(((((.......))))).))))))....,0.8095238095238095,0.68,0.7391304347826089,0.05809601800001474
PDB,29,bpRNA_PDB_29,43,(((((((....(((....(((....)))....))).))))))),0.75,0.8571428571428571,0.7999999999999999,0.03970630000003439
SPR,396,tdbR00000614,78,(((((((..(((((........)))))(((((........))))).....(((((.......))))))))))))....,0.9523809523809523,0.8695652173913043,0.909090909090909,0.058496631000025445
PDB,4,bpRNA_PDB_4,38,((((((((((...((((....))))))))...)))))),1.0,1.0,1.0,0.03868196700000226
SPR,528,tdbR00000408,85,(((..(((((((....)))))))...(((((((...))))))).((((...))))..(((((.......))))).......))).,0.5238095238095238,0.3235294117647059,0.39999999999999997,0.06434421199992357
SPR,573,tdbR00000420,85,(((((((.(((.((.......)).)))...............((((((...))))))(((((.......))))))))))))....,0.7272727272727273,0.5714285714285714,0.64,0.06392141200012702
PDB,561,bpRNA_PDB_561,67,(((((((.....(((((.......)))))..........((((((.......))))))..))))))),0.6296296296296297,0.9444444444444444,0.7555555555555556,0.04773639499990168
PDB,31,bpRNA_PDB_31,21,((((((.((....)))))))),0.8888888888888888,1.0,0.9411764705882353,0.03839753800002654
PDB,510,bpRNA_PDB_510,76,(((((((..((((........)))).(((((((...))))))).....(((((.......))))))))))))....,0.8076923076923077,0.84,0.8235294117647058,0.05641427700015811
SPR,595,tdbR00000523,75,(((((((..((((.......)))).(((((.......))))).....(((((.......))))))))))))....,1.0,1.0,1.0,0.05080317700003434
PDB,196,bpRNA_PDB_196,29,((((((...((((......)))))))))),1.0,1.0,1.0,0.03794179399983477
SPR,297,tdbR00000056,76,(((((((..((((.........)))).(((((.......)))))....(((((.......))))))))))))....,1.0,1.0,1.0,0.0567907549998381
SPR,67,tdbR00000093,76,((((((.....((((((.((......)).)))))).((((....))))(((((.......))))).))))))....,0.6190476190476191,0.4482758620689655,0.52,0.053478354999924704
PDB,623,bpRNA_PDB_623,32,((((((((...((.......))..)))))))),0.6153846153846154,1.0,0.761904761904762,0.03798395100011476
SPR,616,tdbR00000495,76,(((((((..(((.((((((..((((((((((.......)))))....)))))..))))))..))))))))))....,0.5714285714285714,0.46153846153846156,0.5106382978723405,0.05578150600013032
SPR,74,tdbR00000097,76,((((((.....((((((.((......)).)))))).((((....))))(((((.......))))).))))))....,0.6190476190476191,0.4482758620689655,0.52,0.05277251799998339
SPR,261,tdbR00000383,84,(((((((..(((.........))).(((((.(....)))))).((((...))))..(((((......))))).)))))))....,0.9047619047619048,0.6333333333333333,0.7450980392156863,0.060544963999973334
PDB,594,bpRNA_PDB_594,188,(((((..((((((.(((((((((.......))))))))).(((((((.(....(((..((((((((..(((((((((.....)))))......))))..))))...((((.(((....(((...))).....))).)))).(((((....))))))))))))....)))))))).))))))..))))),0.4507042253521127,0.6274509803921569,0.5245901639344263,0.23913399299999583
SPR,509,tdbR00000518,76,.((((((.(((((.........))))).((((.......))))......((((.......)))).)))))).....,0.9,0.9,0.9,0.055637360999980956
PDB,615,bpRNA_PDB_615,71,(((((((((...((((((.........))))))........((((((.......))))))..))))))))),0.75,1.0,0.8571428571428571,0.05281497199985097
SPR,138,tdbR00000347,75,(((((((((((..(((((((.(((.((...........)).))).))))..)))..)))....))))))))....,0.4,0.2962962962962963,0.3404255319148936,0.05520779499988748
PDB,604,bpRNA_PDB_604,186,.((((((((((.....((((...((((.......))))..))))..((((((.(((..((((((..(((((.....))))).(((((((((.....))))))))).....))).)))(((..((..((((((((((....))))))))))..))..))).....)))))))))..)).)))))))),0.828125,0.7910447761194029,0.8091603053435115,0.24841880400003902
PDB,193,bpRNA_PDB_193,161,...((((((......)))))).(((....)))..((......))...........(((((((.((((((((((...)))))))).)).....))))))).(((.(((((......(((((.(((((((((....))))))))).)).)))..))))).))),0.32142857142857145,0.4186046511627907,0.36363636363636365,0.1681410290000258
SPR,412,tdbR00000335,75,(((((((((.((........)).)).((((.......))))......(((((.......))))))))))))....,0.8947368421052632,0.8095238095238095,0.8500000000000001,0.05664590900005351
PDB,241,bpRNA_PDB_241,38,((((((((((...((((....))))))))...)))))),1.0,1.0,1.0,0.039093398999966666
SPR,31,tdbR00000593,60,(((((.....((.((((((......(((((((...))))))))))))).)))))))....,0.6666666666666666,0.37037037037037035,0.47619047619047616,0.04697825999983252
PDB,299,bpRNA_PDB_299,22,(((((((((....))))))))),0.9,1.0,0.9473684210526316,0.03845429000011791
PDB,402,bpRNA_PDB_402,70,(((((.((((((((....)).)))))).((((((((......)))))))))))))...............,0.7407407407407407,0.9523809523809523,0.8333333333333334,0.05175435700016351
PDB,392,bpRNA_PDB_392,23,((.(((((((...))))))))).,1.0,0.6,0.7499999999999999,0.03949067200005629
SPR,447,tdbR00000281,76,(((((((.(((((.((.((.(((((...)))))...)).))..))))).((((.......)))).)))))))....,0.5238095238095238,0.4230769230769231,0.4680851063829788,0.05525056700003006
SPR,302,tdbR00000577,72,((((((((((......((((.((((...(((.(((........))).))).)))).)))))).)))))))).,0.35,0.2692307692307692,0.3043478260869565,0.05274033800014877
PDB,540,bpRNA_PDB_540,94,((((((((......((((..(((.....)))......))))((((.(((....)))))))........(((((....)))))...)))))))).,0.7142857142857143,0.9259259259259259,0.8064516129032259,0.06200536300002568
SPR,495,tdbR00000369,76,.....(((((((....))))))).((((.((((..(((((.((....))..))))).)).)).))))((....)).,0.15,0.12,0.1333333333333333,0.05481538300000466
PDB,206,bpRNA_PDB_206,27,((((((.(((((....))))))))))),0.9090909090909091,0.9090909090909091,0.9090909090909091,0.03878725699996721
SPR,345,tdbR00000377,76,((((((((.(((..........)))(((.((((..(((((....)))))..)))).))).....))))))))....,0.5,0.38461538461538464,0.4347826086956522,0.054913360000000466
SPR,65,tdbR00000133,74,(((((((...(((.......))).((.(((((((...)))))))))(((((.......))))))))))))....,0.9090909090909091,0.7407407407407407,0.8163265306122449,0.0558956140000646
SPR,467,tdbR00000341,75,((((((...((((........)))).(((((.......)))))....(((((.......))))).))))))....,0.9523809523809523,1.0,0.975609756097561,0.05525400300007277
SPR,69,tdbR00000080,70,(((.(((..((((......)))).(((((.......)))))....((((......))))))).)))....,1.0,1.0,1.0,0.046724297000082515
SPR,387,tdbR00000112,74,(((((((.(((((.......))))).((((.......))))......((((.......)))).)))))))....,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.05591787599996678
SPR,317,tdbR00000058,76,(((((((..((((.........)))).(((((.......)))))....(((((.......))))))))))))....,1.0,1.0,1.0,0.0567259090000789
SPR,484,tdbR00000079,71,.(((.(((..((((......)))).(((((.......)))))....(((((....)))))))).)))....,1.0,0.9047619047619048,0.9500000000000001,0.04859403699992981
SPR,244,tdbR00000138,77,((((((((.(((((((....))))))).(((((((...)))))))....(((((.......)))))))))))))...,0.9523809523809523,0.6060606060606061,0.7407407407407407,0.05922918800001753
SPR,333,tdbR00000034,71,((((((...((((.....)))).(((((((...)))))))....(((((......))))).))))))....,0.9523809523809523,0.8333333333333334,0.888888888888889,0.051094041999931505
PDB,182,bpRNA_PDB_182,17,((((((.....)))))),1.0,1.0,1.0,0.03845555799989597
PDB,368,bpRNA_PDB_368,27,((((...((((....))))....)))),0.8,1.0,0.888888888888889,0.03937276099986775
SPR,266,tdbR00000541,77,(((((((..((((.((...)).))))((((((.......))))))....(((((.......))))))))))))....,1.0,0.8461538461538461,0.9166666666666666,0.05571649700004855
SPR,94,tdbR00000445,76,(((((((......(((......))).(((((.......))))).....(((((.......))))))))))))....,0.85,0.85,0.85,0.055697369999961666
SPR,285,tdbR00000135,74,((((((((((((......))))).((((((.......))))))...(((((.......))))))))))))....,0.9523809523809523,0.8,0.8695652173913043,0.05514642399998593
PDB,307,bpRNA_PDB_307,38,((((((.......((((....)))).......)))))),0.7692307692307693,1.0,0.8695652173913044,0.03967730599993047
SPR,136,tdbR00000472,76,((((((((((((.......)))))).(((((.......))))).....(((((.......))))).))))))....,0.95,0.7916666666666666,0.8636363636363635,0.05475958399983938
PDB,516,bpRNA_PDB_516,54,.......((((((((..(((((.(((....)))..).))))....)))))))).,0.2777777777777778,0.35714285714285715,0.31250000000000006,0.042996697000035056
SPR,539,tdbR00000466,77,((.((...)).)).((((((((.....(((((.......))))).....(((((.......))))).))))))))..,0.7,0.5384615384615384,0.608695652173913,0.060031019999996715
PDB,399,bpRNA_PDB_399,43,((((((((.((.((((((((....)))))))))).)))))))),0.8823529411764706,0.75,0.8108108108108107,0.04320767200010778
SPR,471,tdbR00000195,76,(((((((..((((........))))....((((((.......))))))(((((.......))))))))))))....,0.7619047619047619,0.64,0.6956521739130435,0.05780069299999013
SPR,189,tdbR00000394,88,(((((((..(((...........))).(((((.......))))).(((((....))))).(((((.......))))))))))))....,1.0,0.6666666666666666,0.8,0.06456616300010865
SPR,195,tdbR00000454,77,(((((((......(((.((...((((((((((((.((...)).))))).))).))))....))))))))))))....,0.47619047619047616,0.37037037037037035,0.4166666666666667,0.060524822999923344
SPR,186,tdbR00000391,93,(((((((.((((....))))......((((((.(....))))))).((((((.....))))))..(((((.......))))))))))))....,0.8571428571428571,0.4864864864864865,0.6206896551724138,0.06635138999990886
PDB,188,bpRNA_PDB_188,27,((((((((((......)).)))))))),0.9090909090909091,1.0,0.9523809523809523,0.03971457900001951
SPR,479,tdbR00000032,72,.((((((...((((.....)))).(((((((...)))))))....(((((......))))).))))))....,0.9523809523809523,0.8333333333333334,0.888888888888889,0.05437025200012613
PDB,343,bpRNA_PDB_343,17,(((((.......))))),0.8333333333333334,1.0,0.9090909090909091,0.03815732099997149
PDB,287,bpRNA_PDB_287,17,(((((.......))))),0.8333333333333334,1.0,0.9090909090909091,0.039033221000181584
PDB,57,bpRNA_PDB_57,14,((((......)))),0.8,1.0,0.888888888888889,0.038873422999813556
PDB,213,bpRNA_PDB_213,68,.(((((((.....(((((.......)))))..........((((((.......))))))..))))))),0.6428571428571429,1.0,0.782608695652174,0.05170540999984041
PDB,581,bpRNA_PDB_581,71,(((((((((...((((((.........))))))........((((((.......))))))..))))))))),0.7241379310344828,1.0,0.8400000000000001,0.05162687300003199
